observation_id,species_id,island_id,researcher_id,bill_length_mm,bill_depth_mm,flipper_length_mm,body_mass_g,sex,study_year
1,1,3,1,37.8,16.3,202,3929,,2009
2,2,2,4,41.1,14.4,227,5547,female,2008
3,2,2,1,44.4,16.9,211,4106,female,2007
4,2,2,3,53.2,14.6,229,6146,female,2008
5,1,1,1,35.0,16.9,210,3039,,2009
6,1,1,4,42.4,19.1,205,2916,,2009
7,2,2,2,49.7,16.2,224,6125,male,2009
8,1,2,3,46.0,16.7,203,3086,male,2007
9,3,3,2,54.9,16.4,188,3959,female,2009
10,3,3,3,57.8,17.5,181,3106,,2007
11,1,1,2,38.6,18.3,195,3233,male,2008
12,2,2,1,43.9,14.5,207,4826,male,2007
13,3,3,1,48.9,18.9,181,3321,female,2007
14,3,3,2,44.3,18.0,193,4650,male,2009
15,1,3,3,37.2,16.7,191,3836,male,2008
16,2,2,3,51.5,14.7,204,5212,,2008
17,1,3,1,41.9,18.8,192,3434,female,2007
18,2,2,4,41.2,13.3,231,4560,,2009
19,3,3,3,55.3,20.2,183,3842,female,2008
20,2,2,4,49.4,13.9,218,4645,female,2009
21,1,3,3,43.1,18.5,178,4682,,2009
22,1,2,1,36.9,19.3,185,4004,,2007
23,1,1,4,45.1,19.9,190,3766,female,2009
24,2,2,4,44.8,15.4,229,4944,,2007
25,1,3,1,42.9,17.2,180,4408,male,2007
26,1,1,4,36.0,18.6,210,3766,,2007
27,2,2,3,42.3,15.7,213,5235,female,2009
28,3,3,1,45.3,20.7,209,3120,,2007
29,2,2,4,51.3,14.7,209,5670,female,2008
30,2,2,1,57.6,16.4,210,4767,female,2008
31,2,2,3,49.6,14.4,231,5502,male,2008
32,1,1,2,35.9,19.4,210,3030,,2008
33,2,2,2,53.6,14.5,226,4662,female,2009
34,1,1,4,39.8,20.3,175,3237,female,2008
35,2,2,4,43.2,16.8,217,4999,,2008
36,1,3,2,34.9,19.2,186,3038,male,2007
37,3,3,2,49.9,18.8,183,3620,female,2007
38,1,1,1,41.5,18.8,178,3050,female,2009
39,3,3,3,44.5,16.6,190,3992,female,2007
40,2,2,1,45.2,16.2,225,6071,female,2008
41,3,3,3,49.9,18.7,207,4018,female,2007
42,1,3,4,43.4,20.0,184,3093,male,2007
43,2,2,1,59.3,13.4,203,5227,male,2009
44,1,2,4,37.0,18.8,172,4293,,2009
45,2,2,1,55.9,14.4,216,5467,,2007
46,1,3,4,39.1,18.3,175,4279,female,2009
47,1,2,1,36.7,17.7,209,4034,male,2007
48,1,3,2,37.7,21.0,195,3797,,2009
49,3,3,4,51.0,17.9,179,4724,,2008
50,1,2,3,43.1,16.8,199,3596,male,2008
51,2,2,1,59.0,13.8,203,4574,male,2007
52,1,1,1,42.8,20.1,206,4468,male,2007
53,1,3,1,36.4,19.2,206,3759,,2007
54,3,3,4,46.4,17.3,195,3831,male,2009
55,3,3,4,52.4,20.6,190,4441,male,2007
56,2,2,4,58.2,16.4,205,5684,female,2008
57,2,2,3,49.9,16.0,204,5383,male,2007
58,1,3,1,38.8,17.7,178,3409,male,2007
59,1,2,3,36.3,16.3,186,4483,,2008
60,3,3,4,48.5,18.0,198,3128,male,2007
61,2,2,1,55.7,15.5,211,4611,female,2009
62,3,3,1,53.9,20.3,199,4779,female,2008
63,2,2,2,58.5,16.9,220,4060,female,2008
64,3,3,2,55.0,18.9,179,3803,,2009
65,2,2,3,55.9,14.7,219,4423,,2008
66,1,1,3,41.9,18.0,201,3192,male,2008
67,3,3,1,55.0,18.5,196,4784,,2009
68,1,1,4,45.3,18.8,209,4117,male,2007
69,3,3,3,45.4,18.9,209,3308,,2008
70,1,2,2,37.2,20.7,176,4147,,2009
71,3,3,1,42.1,19.8,192,4258,male,2008
72,2,2,2,49.4,15.9,210,5062,female,2008
73,2,2,3,53.6,15.5,205,4912,,2009
74,3,3,4,48.9,19.3,203,2850,,2008
75,3,3,4,50.8,20.4,198,3725,male,2007
76,2,2,4,45.9,14.0,223,5085,female,2009
77,3,3,3,46.5,17.5,212,3218,male,2008
78,1,2,1,43.9,20.0,197,3448,male,2007
79,2,2,3,56.2,16.5,228,4966,female,2008
80,1,3,2,37.4,17.1,193,3316,female,2009
81,1,3,4,36.3,17.1,175,4086,male,2009
82,3,3,2,49.3,18.2,195,3443,female,2009
83,1,1,2,39.5,17.3,207,3349,male,2009
84,3,3,3,42.4,17.4,209,3197,,2007
85,3,3,4,50.7,17.5,192,3880,,2009
86,3,3,4,43.4,17.8,209,4510,male,2007
87,1,2,2,38.5,16.8,205,2901,male,2009
88,1,3,1,39.1,16.1,185,3376,,2009
89,2,2,3,46.9,14.6,215,5161,,2009
90,2,2,4,56.5,16.6,216,6194,,2008
91,3,3,2,53.3,17.4,211,3859,male,2007
92,2,2,3,54.5,13.0,228,6155,male,2009
93,1,1,2,40.7,17.3,209,3777,,2009
94,1,3,3,35.2,20.4,188,3136,,2007
95,2,2,1,49.1,16.5,208,4155,,2008
96,2,2,2,54.2,15.0,210,4554,,2009
97,1,1,3,38.1,17.5,182,3829,,2007
98,1,1,2,35.2,17.9,194,4635,female,2008
99,2,2,2,43.8,13.2,218,4248,male,2008
100,1,2,4,35.3,17.8,191,3390,male,2007
101,2,2,1,56.6,13.4,214,5833,female,2009
102,3,3,4,53.2,20.8,195,4680,male,2008
103,3,3,4,57.6,17.2,187,4271,female,2007
104,2,2,3,54.0,15.7,214,6243,male,2008
105,3,3,4,48.4,17.5,203,3815,male,2009
106,3,3,4,49.6,18.1,199,4141,,2009
107,2,2,4,56.8,14.2,209,5710,,2009
108,3,3,4,47.9,16.9,181,3734,female,2008
109,1,1,3,45.2,20.4,187,3656,male,2008
110,1,3,3,42.8,18.7,196,3061,male,2009
111,2,2,3,45.2,15.6,215,5294,male,2008
112,3,3,3,41.5,17.2,182,3341,,2007
113,3,3,3,45.8,20.9,203,2704,female,2009
114,1,1,4,39.1,17.4,187,4690,male,2007
115,2,2,2,59.5,16.2,231,5638,male,2007
